"","","NODE ACTION LOG","","","","","",""
"","","","","","","","",""
"NODE ","TOPIC","MIN TIME SPENT","MAX TIME SPENT","","","","",""
"0","Beauty & Hygiene","2","3.295","","","","",""
"0","Kitchen, Garden & Pets","1.5","3.295","","","","",""
"0","Cleaning & Household","1.333333333","3.295","","","","",""
"0","Cleaning & Household","1.25","3.295","","","","",""
"0","Beauty & Hygiene","1.2","3.295","","","","",""
"1","Cleaning & Household","1.166666667","3.295","","","","",""
"1","Beauty & Hygiene","2","3.295","","","","",""
"1","Beauty & Hygiene","1.5","3.295","","","","",""
"1","Beauty & Hygiene","1.333333333","3.295","","","","",""
"1","Cleaning & Household","1.25","3.295","","","","",""
"2","Gourmet & World Food","1.2","3.295","","","","",""
"2","Gourmet & World Food","1.166666667","3.295","","","","",""
"2","Beauty & Hygiene","2","14.306","","","","",""
"2","Cleaning & Household","1","11.297","","","","",""
"2","Cleaning & Household","1","11.297","","","","",""
"3","Cleaning & Household","1","2.162","","","","",""
"3","Beauty & Hygiene","1","2.162","","","","",""
"3","Gourmet & World Food","1","2.162","","","","",""
"3","Gourmet & World Food","1","2.162","","","","",""
"3","Gourmet & World Food","1","2.162","","","","",""
"4","Beauty & Hygiene","1","2.162","","","","",""
"4","Gourmet & World Food","1","6.564","","","","",""
"4","Foodgrains, Oil & Masala","1","6.564","","","","",""
"4","Gourmet & World Food","1","2.595","","","","",""
"4","Kitchen, Garden & Pets","2","2.595","","","","",""
"5","Kitchen, Garden & Pets","1.666666667","2.595","","","","",""
"5","Snacks & Branded Foods","1.75","2.595","","","","",""
"5","Foodgrains, Oil & Masala","1","1.452","","","","",""
"5","Snacks & Branded Foods","1","1.452","","","","",""
"5","Beauty & Hygiene","1","1.452","","","","",""
"6","Beverages","1","1.452","","","","",""
"6","Bakery, Cakes & Dairy","1","1.452","","","","",""
"6","Beauty & Hygiene","1","1.452","","","","",""
"6","Beverages","1","1.452","","","","",""
"6","Kitchen, Garden & Pets","1","1.452","","","","",""
"7","Foodgrains, Oil & Masala","1","2.842","","","","",""
"7","Foodgrains, Oil & Masala","1","2.842","","","","",""
"7","Beauty & Hygiene","1","2.842","","","","",""
"7","Beauty & Hygiene","1","2.842","","","","",""
"7","Snacks & Branded Foods","1","2.842","","","","",""
"8","Beauty & Hygiene","1","2.842","","","","",""
"8","Beauty & Hygiene","1","2.842","","","","",""
"8","Gourmet & World Food","1","2.218","","","","",""
"8","Kitchen, Garden & Pets","1","2.218","","","","",""
"8","Gourmet & World Food","1","2.218","","","","",""
"10","Foodgrains, Oil & Masala","1","2.218","","","","",""
"10","Beauty & Hygiene","1","2.218","","","","",""
"10","Cleaning & Household","1","2.218","","","","",""
"10","Gourmet & World Food","1","2.218","","","","",""
"10","Snacks & Branded Foods","1","2.218","","","","",""
"11","Foodgrains, Oil & Masala","1","2.218","","","","",""
"11","Gourmet & World Food","1","2.218","","","","",""
"11","Beauty & Hygiene","1","2.218","","","","",""
"11","Snacks & Branded Foods","2","9.532","","","","",""
"11","Gourmet & World Food","1.5","9.532","","","","",""
"12","Beauty & Hygiene","1.333333333","9.532","","","","",""
"12","Snacks & Branded Foods","1.25","9.532","","","","",""
"12","Beauty & Hygiene","1","4.432","","","","",""
"12","Baby Care","1","4.432","","","","",""
"12","Cleaning & Household","1","9.039","","","","",""
"13","Kitchen, Garden & Pets","1","9.039","","","","",""
"13","Kitchen, Garden & Pets","1","9.039","","","","",""
"13","Gourmet & World Food","1","9.039","","","","",""
"13","Snacks & Branded Foods","1","9.039","","","","",""
"13","Beauty & Hygiene","4","2.279","","","","",""
"14","Beauty & Hygiene","2.5","2.279","","","","",""
"14","Kitchen, Garden & Pets","1","4.732","","","","",""
"14","Beauty & Hygiene","1","4.732","","","","",""
"14","Foodgrains, Oil & Masala","1","4.732","","","","",""
"14","Kitchen, Garden & Pets","1","100","","","","",""
"15","Beauty & Hygiene","1","100","","","","",""
"15","Beauty & Hygiene","2","3.307","","","","",""
"15","Beauty & Hygiene","1","1.733","","","","",""
"15","Gourmet & World Food","1","1.733","","","","",""
"15","Kitchen, Garden & Pets","1","1.733","","","","",""
"16","Beauty & Hygiene","1","1.733","","","","",""
"16","Kitchen, Garden & Pets","1","1.733","","","","",""
"16","Beauty & Hygiene","1.166666667","1.733","","","","",""
"16","Gourmet & World Food","1.142857143","1.733","","","","",""
"16","Beauty & Hygiene","1.125","1.733","","","","",""
"17","Snacks & Branded Foods","1.111111111","1.733","","","","",""
"17","Gourmet & World Food","1.1","1.733","","","","",""
"17","Foodgrains, Oil & Masala","1.090909091","1.733","","","","",""
"17","Gourmet & World Food","1","2.297","","","","",""
"17","Cleaning & Household","1","2.297","","","","",""
"18","Kitchen, Garden & Pets","1.666666667","2.297","","","","",""
"18","Gourmet & World Food","1","5.521","","","","",""
"18","Cleaning & Household","1","5.521","","","","",""
"18","Beauty & Hygiene","1","5.521","","","","",""
"18","Fruits & Vegetables","1","2.847","","","","",""
"19","Beauty & Hygiene","1","2.847","","","","",""
"19","Kitchen, Garden & Pets","1","2.847","","","","",""
"19","Bakery, Cakes & Dairy","1","2.847","","","","",""
"19","Snacks & Branded Foods","1","2.847","","","","",""
"19","Kitchen, Garden & Pets","1","2.847","","","","",""
"20","Beauty & Hygiene","1","2.847","","","","",""
"20","Beauty & Hygiene","1","2.847","","","","",""
"20","Beauty & Hygiene","1","2.53","","","","",""
"20","Beauty & Hygiene","1","2.53","","","","",""
"20","Baby Care","1","2.53","","","","",""
"21","Foodgrains, Oil & Masala","1","2.53","","","","",""
"21","Gourmet & World Food","1","2.53","","","","",""
"21","Beauty & Hygiene","1","2.53","","","","",""
"21","Beauty & Hygiene","1.142857143","2.53","","","","",""
"21","Snacks & Branded Foods","1","1.728","","","","",""
"22","Kitchen, Garden & Pets","1","1.728","","","","",""
"22","Beverages","1.333333333","1.728","","","","",""
"22","Beauty & Hygiene","1.75","1.728","","","","",""
"22","Kitchen, Garden & Pets","2","1.521","","","","",""
"22","Baby Care","1","5.153","","","","",""
"23","Cleaning & Household","1.5","5.153","","","","",""
"23","Beauty & Hygiene","1.333333333","5.153","","","","",""
"23","Foodgrains, Oil & Masala","1.25","5.153","","","","",""
"23","Gourmet & World Food","1","1.615","","","","",""
"23","Beauty & Hygiene","1","1.615","","","","",""
"24","Fruits & Vegetables","1","2.141","","","","",""
"24","Beverages","1","2.141","","","","",""
"24","Kitchen, Garden & Pets","1","2.141","","","","",""
"24","Kitchen, Garden & Pets","1","2.141","","","","",""
"24","Bakery, Cakes & Dairy","1","2.141","","","","",""
